id,plan,area,age,premium
759,p01,r58,43,311.00
760,p01,r58,44,321.00
761,p01,r58,45,331.00
762,p01,r58,46,344.00
763,p01,r58,47,359.00
764,p01,r58,48,375.00
765,p01,r58,49,391.00
766,p01,r58,50,410.00
767,p01,r58,51,428.00
768,p01,r58,52,448.00
769,p01,r58,53,468.00
770,p01,r58,54,490.00
771,p01,r58,55,512.00
772,p01,r58,56,535.00
773,p01,r58,57,559.00
774,p01,r58,58,585.00
775,p01,r58,59,597.00
776,p01,r58,60,623.00
777,p01,r58,61,645.00
778,p01,r58,62,659.00
779,p01,r58,63,677.00
780,p01,r58,64,686.00
781,p01,r58,65,686.00
782,p01,r06,20,133.00
783,p01,r06,21,209.00
784,p01,r06,22,209.00
785,p01,r06,23,209.00
786,p01,r06,24,209.00
787,p01,r06,25,210.00
788,p01,r06,26,214.00
789,p01,r06,27,219.00
790,p01,r06,28,227.00
791,p01,r06,29,234.00
792,p01,r06,30,238.00
793,p01,r06,31,243.00
794,p01,r06,32,248.00
795,p01,r06,33,251.00
796,p01,r06,34,254.00
797,p01,r06,35,256.00
798,p01,r06,36,257.00
799,p01,r06,37,259.00
800,p01,r06,38,261.00
801,p01,r06,39,264.00
802,p01,r06,40,267.00
803,p01,r06,41,272.00
804,p01,r06,42,277.00
805,p01,r06,43,284.00
806,p01,r06,44,292.00
807,p01,r06,45,302.00
808,p01,r06,46,314.00
809,p01,r06,47,327.00
810,p01,r06,48,342.00
811,p01,r06,49,357.00
812,p01,r06,50,374.00
813,p01,r06,51,390.00
814,p01,r06,52,409.00
815,p01,r06,53,427.00
816,p01,r06,54,447.00
817,p01,r06,55,467.00
818,p01,r06,56,488.00
819,p01,r06,57,510.00
820,p01,r06,58,533.00
821,p01,r06,59,545.00
822,p01,r06,60,568.00
823,p01,r06,61,588.00
824,p01,r06,62,601.00
825,p01,r06,63,618.00
826,p01,r06,64,626.00
827,p01,r06,65,626.00
828,p01,r08,20,127.00
829,p01,r08,21,199.00
830,p01,r08,22,199.00
831,p01,r08,23,199.00
832,p01,r08,24,199.00
833,p01,r08,25,200.00
834,p01,r08,26,204.00
835,p01,r08,27,209.00
836,p01,r08,28,217.00
837,p01,r08,29,223.00
838,p01,r08,30,226.00
839,p01,r08,31,231.00
840,p01,r08,32,236.00
841,p01,r08,33,239.00
842,p01,r08,34,242.00
843,p01,r08,35,244.00
844,p01,r08,36,245.00
845,p01,r08,37,247.00
846,p01,r08,38,248.00
847,p01,r08,39,252.00
848,p01,r08,40,255.00
849,p01,r08,41,260.00
850,p01,r08,42,264.00
851,p01,r08,43,271.00
852,p01,r08,44,279.00
853,p01,r08,45,288.00
854,p01,r08,46,299.00
855,p01,r08,47,312.00
856,p01,r08,48,326.00
857,p01,r08,49,340.00
858,p01,r08,50,356.00
859,p01,r08,51,372.00
860,p01,r08,52,389.00
861,p01,r08,53,407.00
862,p01,r08,54,426.00
863,p01,r08,55,445.00
864,p01,r08,56,465.00
865,p01,r08,57,486.00
866,p01,r08,58,508.00
867,p01,r08,59,519.00
868,p01,r08,60,541.00
869,p01,r08,61,560.00
870,p01,r08,62,573.00
871,p01,r08,63,589.00
872,p01,r08,64,596.00
873,p01,r08,65,596.00
874,p02,r10,20,138.00
875,p02,r10,21,217.00
876,p02,r10,22,217.00
877,p02,r10,23,217.00
878,p02,r10,24,217.00
879,p02,r10,25,218.00
880,p02,r10,26,222.00
881,p02,r10,27,227.00
882,p02,r10,28,236.00
883,p02,r10,29,243.00
884,p02,r10,30,246.00
885,p02,r10,31,251.00
886,p02,r10,32,257.00
887,p02,r10,33,260.00
888,p02,r10,34,263.00
889,p02,r10,35,265.00
890,p02,r10,36,267.00
891,p02,r10,37,269.00
892,p02,r10,38,270.00
893,p02,r10,39,274.00
894,p02,r10,40,277.00
895,p02,r10,41,282.00
896,p02,r10,42,287.00
897,p02,r10,43,294.00
898,p02,r10,44,303.00
899,p02,r10,45,313.00
900,p02,r10,46,325.00
901,p02,r10,47,339.00
902,p02,r10,48,355.00
903,p02,r10,49,370.00
904,p02,r10,50,387.00
905,p02,r10,51,405.00
906,p02,r10,52,423.00
907,p02,r10,53,443.00
908,p02,r10,54,463.00
909,p02,r10,55,484.00
910,p02,r10,56,506.00
911,p02,r10,57,529.00
912,p02,r10,58,553.00
913,p02,r10,59,565.00
914,p02,r10,60,589.00
915,p02,r10,61,610.00
916,p02,r10,62,623.00
917,p02,r10,63,640.00
918,p02,r10,64,649.00
919,p02,r10,65,649.00
920,p02,r15,20,138.00
921,p02,r15,21,217.00
922,p02,r15,22,217.00
923,p02,r15,23,217.00
924,p02,r15,24,217.00
925,p02,r15,25,218.00
926,p02,r15,26,222.00
927,p02,r15,27,227.00
928,p02,r15,28,236.00
929,p02,r15,29,243.00
930,p02,r15,30,246.00
931,p02,r15,31,251.00
932,p02,r15,32,257.00
933,p02,r15,33,260.00
934,p02,r15,34,263.00
935,p02,r15,35,265.00
936,p02,r15,36,267.00
937,p02,r15,37,269.00
938,p02,r15,38,270.00
939,p02,r15,39,274.00
940,p02,r15,40,277.00
941,p02,r15,41,282.00
942,p02,r15,42,287.00
943,p02,r15,43,294.00
944,p02,r15,44,303.00
945,p02,r15,45,313.00
946,p02,r15,46,325.00
947,p02,r15,47,339.00
948,p02,r15,48,355.00
949,p02,r15,49,370.00
950,p02,r15,50,387.00
951,p02,r15,51,405.00
952,p02,r15,52,423.00
953,p02,r15,53,443.00
954,p02,r15,54,463.00
955,p02,r15,55,484.00
956,p02,r15,56,506.00
957,p02,r15,57,529.00
958,p02,r15,58,553.00
959,p02,r15,59,565.00
960,p02,r15,60,589.00
961,p02,r15,61,610.00
962,p02,r15,62,623.00
963,p02,r15,63,640.00
964,p02,r15,64,649.00
965,p02,r15,65,649.00
966,p02,r16,20,105.00
967,p02,r16,21,165.00
968,p02,r16,22,165.00
969,p02,r16,23,165.00
970,p02,r16,24,165.00
971,p02,r16,25,166.00
972,p02,r16,26,169.00
973,p02,r16,27,173.00
974,p02,r16,28,179.00
975,p02,r16,29,185.00
976,p02,r16,30,187.00
977,p02,r16,31,191.00
978,p02,r16,32,195.00
979,p02,r16,33,198.00
980,p02,r16,34,200.00
981,p02,r16,35,202.00
982,p02,r16,36,203.00
983,p02,r16,37,204.00
984,p02,r16,38,206.00
985,p02,r16,39,208.00
986,p02,r16,40,211.00
987,p02,r16,41,215.00
988,p02,r16,42,219.00
989,p02,r16,43,224.00
990,p02,r16,44,230.00
991,p02,r16,45,238.00
992,p02,r16,46,247.00
993,p02,r16,47,258.00
994,p02,r16,48,270.00
995,p02,r16,49,281.00
